"Competition","Player","Team","Age","Position","Avg.Rating","Minutes","Goals","Assists","G+A","Impact"
"UEFA Conference League 2024/25","Aleksa Pejić","TSC Bačka Top",25,"Midfielder",6.45,247,0,0,0,"-"
"UEFA Conference League 2024/25","Aleksandar Ćirković","TSC Bačka Top",23,"Left-Midfielder",6.99,479,0,4,4,"1.66"
"UEFA Conference League 2024/25","Aleksandar Stančić","TSC Bačka Top",18,"Midfielder",3.8,11,0,0,0,"-"
"UEFA Conference League 2024/25","Bence Sós","TSC Bačka Top",30,"Left-Midfielder",4.16,88,0,0,0,"-"
"UEFA Conference League 2024/25","Dragoljub Savić","TSC Bačka Top",23,"Right-Winger",4.75,32,0,0,0,"-"
"UEFA Conference League 2024/25","Dušan Stevanović","TSC Bačka Top",28,"Centre-Back",5.96,509,0,0,0,"0.63"
"UEFA Conference League 2024/25","Ifet Đakovac","TSC Bačka Top",27,"Midfielder",6.75,440,2,1,3,"1.42"
"UEFA Conference League 2024/25","Ivan Milosavljević","TSC Bačka Top",42,"Right-Winger",5.4,176,0,1,1,"-"
"UEFA Conference League 2024/25","Luka Capan","TSC Bačka Top",29,"Centre-Back",4.69,211,0,0,0,"-"
"UEFA Conference League 2024/25","Marko Lazetić","TSC Bačka Top",21,"Centre-Foward",4.99,191,1,0,1,"-"
"UEFA Conference League 2024/25","Mateja Đorđević","TSC Bačka Top",22,"Centre-Back",5.45,629,0,0,0,"0.12"
"UEFA Conference League 2024/25","Mihajlo Banjac","TSC Bačka Top",25,"Right-Midfielder",4.73,387,0,0,0,"-0.6"
"UEFA Conference League 2024/25","Milan Radin","TSC Bačka Top",33,"Midfielder",5.56,630,0,0,0,"0.23"
"UEFA Conference League 2024/25","Miloš Degenek","TSC Bačka Top",30,"Centre-Back",5.16,180,0,0,0,"-"
"UEFA Conference League 2024/25","Miloš Pantović","TSC Bačka Top",22,"Centre-Foward",6.82,519,5,1,6,"1.49"
"UEFA Conference League 2024/25","Nemanja Petrović","TSC Bačka Top",32,"Left-Back",6.32,450,0,1,1,"0.99"
"UEFA Conference League 2024/25","Petar Stanic","TSC Bačka Top",23,"Midfielder",7.34,690,3,1,4,"2.01"
"UEFA Conference League 2024/25","Prestige Mboungou","TSC Bačka Top",24,"Right-Winger",5.39,308,1,0,1,"-"
"UEFA Conference League 2024/25","Saša Jovanović","TSC Bačka Top",32,"Centre-Foward",3.75,30,0,0,0,"-"
"UEFA Conference League 2024/25","Stefan Jovanović","TSC Bačka Top",30,"Right-Back",5.5,696,0,0,0,"0.17"
"UEFA Conference League 2024/25","Veljko Ilic","TSC Bačka Top",21,"Goalkeeper",5.42,720,0,0,0,"0.09"
"UEFA Conference League 2024/25","Viktor Radojevic","TSC Bačka Top",20,"Left-Back",5.14,180,0,0,0,"-"
"UEFA Conference League 2024/25","Vukašin Krstić","TSC Bačka Top",21,"Centre-Back",4.71,108,0,0,0,"-"
"UEFA Conference League 2024/25","Alberto costa","Vitória Guimarães",21,"Right-Back",8.63,360,1,0,1,"3.15"
"UEFA Conference League 2024/25","Beni","Vitória Guimarães",22,"Midfielder",3.52,17,0,0,0,"-"
"UEFA Conference League 2024/25","Bruno Gaspar","Vitória Guimarães",31,"Right-Back",6.86,180,0,1,1,"-"
"UEFA Conference League 2024/25","Bruno Varela","Vitória Guimarães",30,"Goalkeeper",5.82,720,0,0,0,"0.34"
"UEFA Conference League 2024/25","Gustavo da Silva","Vitória Guimarães",25,"Right-Winger",7.2,252,3,0,3,"-"
"UEFA Conference League 2024/25","Hevertton Santos","Vitória Guimarães",24,"Right-Back",5.68,111,0,0,0,"-"
"UEFA Conference League 2024/25","Jesús Ramírez","Vitória Guimarães",26,"Centre-Foward",5.92,230,1,0,1,"-"
"UEFA Conference League 2024/25","João Mendes","Vitória Guimarães",30,"Left-Back",6.01,1069,2,2,4,"0.53"
"UEFA Conference League 2024/25","Jorge Filipe Oliveira Fernandes","Vitória Guimarães",27,"Centre-Back",6.77,180,0,0,0,"-"
"UEFA Conference League 2024/25","José Bica","Vitória Guimarães",21,"Centre-Foward",6,44,0,0,0,"-"
"UEFA Conference League 2024/25","Kaio","Vitória Guimarães",20,"Right-Winger",8.56,428,0,3,3,"3.08"
"UEFA Conference League 2024/25","Manuel Manu","Vitória Guimarães",23,"Midfielder",7.19,465,1,1,2,"1.71"
"UEFA Conference League 2024/25","Miguel Maga","Vitória Guimarães",22,"Left-Back",5.12,222,0,0,0,"-"
"UEFA Conference League 2024/25","Mikel Villanueva","Vitória Guimarães",31,"Centre-Back",6.62,360,0,0,0,"1.14"
"UEFA Conference League 2024/25","Nélson Oliveira","Vitória Guimarães",33,"Centre-Foward",5.62,381,1,0,1,"0.14"
"UEFA Conference League 2024/25","Nuno Santos","Vitória Guimarães",26,"Left-Winger",6.61,491,1,1,2,"1.13"
"UEFA Conference League 2024/25","Óscar Rivas","Vitória Guimarães",24,"Centre-Back",6.11,270,1,0,1,"-"
"UEFA Conference League 2024/25","Samu","Vitória Guimarães",28,"Left-Midfielder",5.13,185,2,0,2,"-"
"UEFA Conference League 2024/25","Telmo Arcanjo","Vitória Guimarães",23,"Right-Winger",5.7,220,0,1,1,"-"
"UEFA Conference League 2024/25","Tiago Silva","Vitória Guimarães",31,"Right-Midfielder",6.21,578,2,0,2,"0.73"
"UEFA Conference League 2024/25","Tomás Händel","Vitória Guimarães",24,"Midfielder",5.18,355,0,0,0,"-0.3"
"UEFA Conference League 2024/25","Tomás Ribeiro","Vitória Guimarães",25,"Centre-Back",5.21,90,0,0,0,"-"
"UEFA Conference League 2024/25","Toni Borevkovic","Vitória Guimarães",27,"Centre-Back",5.68,540,0,0,0,"0.2"
"UEFA Conference League 2024/25","Úmaro Embaló","Vitória Guimarães",23,"Right-Winger",4.67,121,0,0,0,"-"
"UEFA Conference League 2024/25","Zé Carlos","Vitória Guimarães",23,"Right-Midfielder",4.95,48,0,0,0,"-"
"La Liga 2024/25","Abdel Abqar","Alavés",26,"Centre-Back",5.17,2463,0,1,1,"-0.22"
"La Liga 2024/25","Abderrahman Rebbach","Alavés",26,"Left-Winger",4.62,385,0,0,0,"-"
"La Liga 2024/25","Adrian Rodriguez","Alavés",24,"Goalkeeper",4.55,122,0,0,0,"-"
"La Liga 2024/25","Aleksandar Sedlar","Alavés",33,"Centre-Back",4.96,594,0,0,0,"-"
"La Liga 2024/25","Ander Guevara","Alavés",27,"Midfielder",5.14,1947,0,1,1,"-0.25"
"La Liga 2024/25","Antonio Blanco","Alavés",24,"Midfielder",5.4,2727,0,1,1,"0.01"
"La Liga 2024/25","Antonio Sivera","Alavés",28,"Goalkeeper",6.13,2810,0,0,0,"0.74"
"La Liga 2024/25","Asier Villalibre","Alavés",27,"Centre-Foward",4.47,333,1,1,2,"-"
"La Liga 2024/25","Carles Aleñá","Alavés",27,"Left-Midfielder",6.24,1090,0,2,2,"0.85"
"La Liga 2024/25","Carlos Benavídez","Alavés",27,"Midfielder",5.62,487,1,1,2,"-"
"La Liga 2024/25","Carlos Martín","Alavés",23,"Left-Winger",5.11,1333,2,2,4,"-0.28"
"La Liga 2024/25","Carlos Vicente","Alavés",26,"Right-Winger",5.75,3092,5,5,10,"0.36"
"La Liga 2024/25","Facundo Garcés","Alavés",25,"Centre-Back",4.92,678,0,0,0,"-"
"La Liga 2024/25","Hugo Novoa","Alavés",22,"Right-Back",5.31,237,0,0,0,"-"
"La Liga 2024/25","Jesús Owono","Alavés",24,"Goalkeeper",4.86,487,0,0,0,"-"
"La Liga 2024/25","Joan Jordán","Alavés",30,"Midfielder",5.63,1414,5,2,7,"0.24"
"La Liga 2024/25","Jon Guridi","Alavés",30,"Attacking-Mid",5.01,2080,3,1,4,"-0.38"
"La Liga 2024/25","Kiké","Alavés",35,"Centre-Foward",5.42,2542,13,0,13,"0.03"
"La Liga 2024/25","Luis Rioja","Alavés",30,"Left-Winger",5.58,23,0,0,0,"-"
"La Liga 2024/25","Luka Romero","Alavés",20,"Right-Winger",4.11,199,0,0,0,"-"
"La Liga 2024/25","Manu Sánchez","Alavés",24,"Left-Back",5.5,2634,1,0,1,"0.11"
"La Liga 2024/25","Moussa Diarra","Alavés",24,"Centre-Back",5.23,1866,0,0,0,"-0.16"
"La Liga 2024/25","Nahuel Tenaglia","Alavés",29,"Right-Back",6.09,2922,2,1,3,"0.7"
"La Liga 2024/25","Pau Cabanes","Alavés",20,"Right-Midfielder",4.85,188,0,0,0,"-"
"La Liga 2024/25","Pica","Alavés",23,"Centre-Back",4.94,499,0,0,0,"-"
"La Liga 2024/25","Santiago Mouriño","Alavés",23,"Centre-Back",5.56,1849,0,1,1,"0.17"
"La Liga 2024/25","Stoichkov","Alavés",31,"Attacking-Mid",5.13,699,0,1,1,"-"
"La Liga 2024/25","Tomás Conechny","Alavés",27,"Left-Winger",4.92,847,1,0,1,"-"
"La Liga 2024/25","Toni Martínez","Alavés",27,"Centre-Foward",4.96,1012,4,0,4,"-0.43"
"La Liga 2024/25","Adama Boiro","Athletic Club",22,"Left-Back",5.68,1101,0,0,0,"-0.39"
"La Liga 2024/25","Adu Ares","Athletic Club",22,"Right-Winger",4.77,19,0,0,0,"-"
"La Liga 2024/25","Aingeru Olabarrieta","Athletic Club",19,"Right-Winger",5.8,54,0,0,0,"-"
"La Liga 2024/25","Aitor Paredes","Athletic Club",25,"Centre-Back",5.42,1812,3,0,3,"-0.65"
"La Liga 2024/25","Álex Berenguer","Athletic Club",29,"Left-Winger",6.19,2339,6,7,13,"0.12"
"La Liga 2024/25","Alex Padilla","Athletic Club",21,"Goalkeeper",5.77,321,0,0,0,"-"
"La Liga 2024/25","Álvaro djaló","Athletic Club",25,"Centre-Foward",5.4,659,1,0,1,"-"
"La Liga 2024/25","Ander Herrera","Athletic Club",35,"Midfielder",5.26,273,0,0,0,"-"
"La Liga 2024/25","Andoni Gorosabel","Athletic Club",28,"Right-Back",6.24,1485,0,2,2,"0.17"
"La Liga 2024/25","Beñat Prados","Athletic Club",24,"Midfielder",5.68,1715,1,0,1,"-0.39"
"La Liga 2024/25","Daniel Vivian","Athletic Club",25,"Centre-Back",6.86,2608,4,0,4,"0.79"
"La Liga 2024/25","Gorka Guruzeta","Athletic Club",28,"Centre-Foward",5.17,1840,7,2,9,"-0.9"
"La Liga 2024/25","Iñaki Williams","Athletic Club",30,"Right-Winger",6.5,2652,6,8,14,"0.43"
"La Liga 2024/25","Iñigo Lekue","Athletic Club",32,"Left-Back",5.64,773,0,0,0,"-"
"La Liga 2024/25","Iñigo Ruiz de Galarreta","Athletic Club",31,"Midfielder",6.3,1477,0,4,4,"0.23"
"La Liga 2024/25","Javi Martón","Athletic Club",25,"Centre-Foward",3.98,53,0,0,0,"-"
"La Liga 2024/25","Julen Agirrezabala","Athletic Club",23,"Goalkeeper",6.96,1206,0,0,0,"0.89"
"La Liga 2024/25","Maroan Sannadi","Athletic Club",24,"Centre-Foward",5.77,754,1,1,2,"-"
"La Liga 2024/25","Mikel Jauregizar","Athletic Club",21,"Midfielder",5.97,2244,2,1,3,"-0.1"
"La Liga 2024/25","Mikel Vesga","Athletic Club",31,"Midfielder",5.32,988,0,0,0,"-0.75"
"La Liga 2024/25","Nico Williams","Athletic Club",22,"Left-Winger",6.61,1996,5,5,10,"0.54"
"La Liga 2024/25","Nicolás Serrano","Athletic Club",21,"Right-Winger",5.3,112,0,0,0,"-"
"La Liga 2024/25","Oihan Sancet","Athletic Club",25,"Attacking-Mid",6.55,1620,15,1,16,"0.48"
"La Liga 2024/25","Óscar de Marcos","Athletic Club",36,"Right-Back",6.25,1564,0,4,4,"0.18"
"La Liga 2024/25","Peio Canales","Athletic Club",20,"Attacking-Mid",5.43,259,0,0,0,"-"
"La Liga 2024/25","Unai Gómez","Athletic Club",22,"Attacking-Mid",5.28,1284,1,3,4,"-0.79"
"La Liga 2024/25","Unai Núñez","Athletic Club",28,"Centre-Back",5.93,645,0,0,0,"-"
"La Liga 2024/25","Unai Simón","Athletic Club",27,"Goalkeeper",7.11,1890,0,0,0,"1.04"
"La Liga 2024/25","Yeray Álvarez","Athletic Club",30,"Centre-Back",6.86,1781,1,0,1,"0.79"
"La Liga 2024/25","Yuri Berchiche","Athletic Club",35,"Left-Back",6.27,2044,0,2,2,"0.2"
"La Liga 2024/25","Adrian Niño","Atlético Madrid",20,"Centre-Foward",3.74,12,0,0,0,"-"
"La Liga 2024/25","Alexander Sørloth","Atlético Madrid",29,"Centre-Foward",6.33,1566,20,2,22,"0.21"
"La Liga 2024/25","Ángel Correa","Atlético Madrid",30,"Centre-Foward",5.31,805,4,1,5,"-"
"La Liga 2024/25","Antoine Griezmann","Atlético Madrid",34,"Centre-Foward",6.27,2469,8,7,15,"0.15"
"La Liga 2024/25","Axel Witsel","Atlético Madrid",36,"Centre-Back",6.16,852,0,1,1,"-"
"La Liga 2024/25","César Azpilicueta","Atlético Madrid",35,"Centre-Back",6.22,875,1,0,1,"0.1"
"La Liga 2024/25","Clément Lenglet","Atlético Madrid",29,"Centre-Back",6.58,1972,2,1,3,"0.46"
"La Liga 2024/25","Conor Gallagher","Atlético Madrid",25,"Left-Midfielder",5.83,1633,3,3,6,"-0.29"
"La Liga 2024/25","Giuliano Simeone","Atlético Madrid",22,"Right-Midfielder",6.17,1926,2,6,8,"0.05"
"La Liga 2024/25","Jan Oblak","Atlético Madrid",32,"Goalkeeper",6.5,3240,0,0,0,"0.38"
"La Liga 2024/25","Javi Galán","Atlético Madrid",30,"Left-Back",6.22,1784,0,3,3,"0.1"
"La Liga 2024/25","José María Giménez","Atlético Madrid",30,"Centre-Back",6.15,1999,0,1,1,"0.03"
"La Liga 2024/25","Juan Musso","Atlético Madrid",31,"Goalkeeper",7.22,180,0,0,0,"-"
"La Liga 2024/25","Julián Álvarez","Atlético Madrid",25,"Centre-Foward",6.51,2509,17,4,21,"0.39"
"La Liga 2024/25","Koke","Atlético Madrid",33,"Midfielder",5.65,1926,1,1,2,"-0.47"
"La Liga 2024/25","Marcos Llorente","Atlético Madrid",30,"Right-Back",6.81,2513,2,4,6,"0.69"
"La Liga 2024/25","Nahuel Molina","Atlético Madrid",27,"Right-Back",5.96,1590,0,3,3,"-0.16"
"La Liga 2024/25","Pablo Barrios","Atlético Madrid",21,"Midfielder",6.17,2330,1,4,5,"0.05"
"La Liga 2024/25","Reinildo Mandava","Atlético Madrid",31,"Left-Back",5.55,941,0,0,0,"-0.57"
"La Liga 2024/25","Robin Le Normand","Atlético Madrid",28,"Centre-Back",6.06,2151,1,0,1,"-0.06"
"La Liga 2024/25","Rodrigo De Paul","Atlético Madrid",31,"Midfielder",5.97,2106,3,5,8,"-0.15"
"La Liga 2024/25","Rodrigo Riquelme","Atlético Madrid",25,"Left-Midfielder",5.64,516,0,1,1,"-"
"La Liga 2024/25","Samuel Lino","Atlético Madrid",25,"Left-Midfielder",6.17,1552,3,4,7,"0.05"
"La Liga 2024/25","Thomas Lemar","Atlético Madrid",29,"Left-Midfielder",4.59,85,0,0,0,"-"
"La Liga 2024/25","Alejandro Balde","Barcelona",21,"Left-Back",6.7,2284,0,4,4,"-0.01"
"La Liga 2024/25","Andreas Christensen","Barcelona",29,"Centre-Back",5.83,254,0,0,0,"-"
"La Liga 2024/25","Ansu Fati","Barcelona",22,"Left-Winger",5.72,233,0,0,0,"-"
"La Liga 2024/25","Dani Olmo","Barcelona",27,"Attacking-Mid",6.83,1212,10,3,13,"0.12"
"La Liga 2024/25","Daniel Rodriguez","Barcelona",19,"Right-Winger",5.22,37,0,0,0,"-"
"La Liga 2024/25","Eric García","Barcelona",24,"Midfielder",6.63,1566,2,3,5,"-0.08"
"La Liga 2024/25","Fermin López","Barcelona",22,"Attacking-Mid",6.11,1252,6,5,11,"-0.6"
"La Liga 2024/25","Ferrán Torres","Barcelona",25,"Centre-Foward",6.11,1106,10,6,16,"-0.6"
"La Liga 2024/25","Frenkie de Jong","Barcelona",28,"Midfielder",5.88,1143,2,2,4,"-0.83"
"La Liga 2024/25","Gavi","Barcelona",20,"Midfielder",5.78,1085,1,1,2,"-0.93"
"La Liga 2024/25","Gerard Martín","Barcelona",23,"Left-Back",5.78,1038,1,3,4,"-0.93"
"La Liga 2024/25","Héctor Fort","Barcelona",18,"Right-Back",5.59,585,0,0,0,"-"
"La Liga 2024/25","Iñaki Peña","Barcelona",26,"Goalkeeper",7.72,1396,0,0,0,"1.01"
"La Liga 2024/25","Iñigo Martínez","Barcelona",34,"Centre-Back",7.54,2490,0,4,4,"0.83"
"La Liga 2024/25","Jules Koundé","Barcelona",26,"Right-Back",7.18,2605,2,3,5,"0.47"
"La Liga 2024/25","Lamine Yamal","Barcelona",17,"Right-Winger",7.61,2856,9,13,22,"0.9"
"La Liga 2024/25","Marc-André ter Stegen","Barcelona",33,"Goalkeeper",5.81,674,0,0,0,"-"
"La Liga 2024/25","Marc Bernal","Barcelona",17,"Midfielder",6.01,242,0,0,0,"-"
"La Liga 2024/25","Marc Casado","Barcelona",21,"Midfielder",5.93,1611,1,3,4,"-0.78"
"La Liga 2024/25","Pablo Torre","Barcelona",21,"Right-Midfielder",5.84,310,3,1,4,"-"
"La Liga 2024/25","Pau Cubarsí","Barcelona",18,"Centre-Back",6.96,2618,0,3,3,"0.25"
"La Liga 2024/25","Pau Victor Delgado","Barcelona",23,"Centre-Foward",5.57,319,2,1,3,"-"
"La Liga 2024/25","Pedri","Barcelona",22,"Midfielder",7.25,2879,4,5,9,"0.54"
"La Liga 2024/25","Raphinha","Barcelona",28,"Left-Winger",7.25,2839,18,9,27,"0.54"
"La Liga 2024/25","Robert Lewandowski","Barcelona",36,"Centre-Foward",7.07,2667,27,2,29,"0.36"
"La Liga 2024/25","Ronald Araújo","Barcelona",26,"Centre-Back",7.23,754,1,1,2,"-"
"La Liga 2024/25","Sergi Dominguez","Barcelona",19,"Centre-Back",5.28,172,0,0,0,"-"
"La Liga 2024/25","Wojciech Szczęsny","Barcelona",35,"Goalkeeper",7.03,1350,0,0,0,"0.32"
"La Liga 2024/25","Alfon","Celta Vigo",26,"Left-Winger",5.97,1371,5,2,7,"0.21"
"La Liga 2024/25","Anastasios Douvikas","Celta Vigo",25,"Centre-Foward",4.62,700,3,1,4,"-"
"La Liga 2024/25","Borja Iglesias","Celta Vigo",32,"Centre-Foward",5.45,1952,11,3,14,"-0.31"
"La Liga 2024/25","Carl Starfelt","Celta Vigo",29,"Centre-Back",6.24,2270,1,0,1,"0.48"
"La Liga 2024/25","Carlos Dominguez","Celta Vigo",24,"Centre-Back",6.3,1181,0,0,0,"0.54"
"La Liga 2024/25","Damián Rodríguez","Celta Vigo",22,"Midfielder",4.85,927,0,0,0,"-0.91"
"La Liga 2024/25","Fer López","Celta Vigo",21,"Right-Winger",6.06,671,2,0,2,"-"
"La Liga 2024/25","Fran Beltrán","Celta Vigo",26,"Midfielder",5.51,2421,2,1,3,"-0.25"
"La Liga 2024/25","Franco Cervi","Celta Vigo",30,"Wing-Back",5.05,273,0,0,0,"-"
"La Liga 2024/25","Hugo Álvarez","Celta Vigo",21,"Wing-Back",5.9,1572,4,3,7,"0.14"
"La Liga 2024/25","Hugo Sotelo","Celta Vigo",21,"Midfielder",5.07,1254,0,0,0,"-0.69"
"La Liga 2024/25","Iago Aspas","Celta Vigo",37,"Right-Winger",6.13,1745,10,5,15,"0.37"
"La Liga 2024/25","Iker Losada","Celta Vigo",23,"Left-Winger",4.87,358,1,0,1,"-"
"La Liga 2024/25","Ilaix Moriba","Celta Vigo",22,"Midfielder",5.56,2132,1,1,2,"-0.2"
"La Liga 2024/25","Iván Villar","Celta Vigo",27,"Goalkeeper",4.92,360,0,0,0,"-"
"La Liga 2024/25","Jailson Siqueira","Celta Vigo",29,"Centre-Back",5.79,614,0,0,0,"-"
"La Liga 2024/25","Javi Rodríguez","Celta Vigo",21,"Centre-Back",6.07,2514,3,2,5,"0.31"
"La Liga 2024/25","Javier Manquillo","Celta Vigo",30,"Centre-Back",4.71,515,0,0,0,"-"
"La Liga 2024/25","Jonathan Bamba","Celta Vigo",28,"Left-Winger",5.63,811,0,1,1,"-"
"La Liga 2024/25","Marcos Alonso","Celta Vigo",34,"Centre-Back",7.03,2647,3,0,3,"1.27"
"La Liga 2024/25","Mihailo Ristić","Celta Vigo",29,"Wing-Back",4.97,429,0,1,1,"-"
"La Liga 2024/25","Óscar Mingueza","Celta Vigo",26,"Wing-Back",6.29,2729,4,6,10,"0.53"
"La Liga 2024/25","Pablo Durán","Celta Vigo",23,"Centre-Foward",5.35,1394,4,4,8,"-0.41"
"La Liga 2024/25","Sergio Carreira","Celta Vigo",24,"Wing-Back",5.88,1656,0,4,4,"0.12"
"La Liga 2024/25","Vicente Guaita","Celta Vigo",38,"Goalkeeper",5.78,3060,0,0,0,"0.02"
"La Liga 2024/25","Williot Swedberg","Celta Vigo",21,"Left-Winger",5.32,1348,4,5,9,"-0.44"
"La Liga 2024/25","Yoel Lago","Celta Vigo",21,"Centre-Back",5.8,583,0,1,1,"-"
"La Liga 2024/25","Alejo Véliz","Espanyol",21,"Centre-Foward",4.12,1127,1,0,1,"-1.41"
"La Liga 2024/25","Alex Král","Espanyol",27,"Midfielder",5.81,2714,0,1,1,"0.28"
"La Liga 2024/25","Álvaro Aguado","Espanyol",29,"Midfielder",5.23,443,0,1,1,"-"
"La Liga 2024/25","Álvaro Tejero","Espanyol",28,"Right-Midfielder",5.12,1238,1,4,5,"-0.41"
"La Liga 2024/25","Antoniu","Espanyol",22,"Right-Winger",5.7,1022,0,1,1,"0.17"
"La Liga 2024/25","Brian Oliván","Espanyol",30,"Left-Back",4.88,1017,0,1,1,"-0.65"
"La Liga 2024/25","Carlos Romero","Espanyol",23,"Left-Back",5.72,2554,2,1,3,"0.19"
"La Liga 2024/25","Edu Expósito","Espanyol",28,"Attacking-Mid",5.62,1045,0,2,2,"0.09"
"La Liga 2024/25","Fernando Calero","Espanyol",29,"Centre-Back",5.28,715,1,0,1,"-"
"La Liga 2024/25","Irvin Cardona","Espanyol",27,"Centre-Foward",4.78,606,1,1,2,"-"
"La Liga 2024/25","Javi Puado","Espanyol",26,"Left-Winger",5.95,2974,12,4,16,"0.42"
"La Liga 2024/25","Joan García","Espanyol",24,"Goalkeeper",6.72,3420,0,0,0,"1.19"
"La Liga 2024/25","Jofre","Espanyol",23,"Right-Winger",5.69,2165,3,3,6,"0.16"
"La Liga 2024/25","José Gragera","Espanyol",23,"Midfielder",4.9,569,0,0,0,"-"
"La Liga 2024/25","Justin Smith","Espanyol",21,"Midfielder",5.34,209,0,0,0,"-"
"La Liga 2024/25","Leandro Cabrera","Espanyol",33,"Centre-Back",5.47,2869,4,2,6,"-0.06"
"La Liga 2024/25","Marash Kumbulla","Espanyol",25,"Centre-Back",5.69,2972,3,0,3,"0.16"
"La Liga 2024/25","Naci Ünüvar","Espanyol",21,"Left-Midfielder",3.96,31,0,0,0,"-"
"La Liga 2024/25","Omar El Hilali","Espanyol",21,"Right-Back",6.13,3153,0,2,2,"0.6"
"La Liga 2024/25","Pere Milla","Espanyol",32,"Left-Winger",4.47,456,3,0,3,"-"
"La Liga 2024/25","Pol Lozano","Espanyol",25,"Midfielder",5.13,1943,0,1,1,"-0.4"
"La Liga 2024/25","Rafael Bauza","Espanyol",19,"Midfielder",4.48,183,0,0,0,"-"
"La Liga 2024/25","Roberto Férnandez","Espanyol",22,"Centre-Foward",5.56,1497,6,0,6,"0.03"
"La Liga 2024/25","Sergi Gómez","Espanyol",33,"Centre-Back",4.75,664,0,0,0,"-"
"La Liga 2024/25","Urko González","Espanyol",24,"Midfielder",6.12,1374,0,2,2,"0.59"
"La Liga 2024/25","Walid Cheddira","Espanyol",27,"Centre-Foward",4.67,640,1,1,2,"-"
"La Liga 2024/25","Abdoulaye Keita","Getafe",22,"Midfielder",4.8,95,0,0,0,"-"
"La Liga 2024/25","Alberto Risco","Getafe",19,"Left-Winger",4.36,69,0,0,0,"-"
"La Liga 2024/25","Alex Sola","Getafe",25,"Left-Midfielder",5.46,1029,0,1,1,"0"
"La Liga 2024/25","Allan Nyom","Getafe",37,"Right-Back",5.15,887,1,2,3,"-0.31"
"La Liga 2024/25","Álvaro Rodríguez","Getafe",20,"Centre-Foward",5.26,852,2,0,2,"-"
"La Liga 2024/25","Bertuğ Yıldırım","Getafe",22,"Centre-Foward",4.78,1083,1,0,1,"-0.68"
"La Liga 2024/25","Borja Mayoral","Getafe",28,"Centre-Foward",4.9,1114,5,1,6,"-0.56"
"La Liga 2024/25","Carles Aleñá","Getafe",27,"Right-Midfielder",5.12,452,0,0,0,"-"
"La Liga 2024/25","Carles Pérez","Getafe",27,"Right-Midfielder",5.37,1431,3,0,3,"-0.09"
"La Liga 2024/25","Christantus Uche","Getafe",22,"Centre-Foward",5.71,2486,4,6,10,"0.25"
"La Liga 2024/25","Coba da Costa","Getafe",22,"Left-Midfielder",5.85,1006,1,1,2,"0.39"
"La Liga 2024/25","David Soria","Getafe",32,"Goalkeeper",6.26,3420,0,0,0,"0.8"
"La Liga 2024/25","Diego Rico","Getafe",32,"Left-Back",5.84,2819,0,3,3,"0.38"
"La Liga 2024/25","Djené","Getafe",33,"Centre-Back",5.12,2548,0,0,0,"-0.34"
"La Liga 2024/25","Domingos Duarte","Getafe",30,"Centre-Back",5.04,1859,1,0,1,"-0.42"
"La Liga 2024/25","Gorka Rivera Alonso","Getafe",20,"Left-Midfielder",4.48,20,0,0,0,"-"
"La Liga 2024/25","Iglesias","Getafe",26,"Right-Back",5.4,2888,0,1,1,"-0.06"
"La Liga 2024/25","Ismael Bekhoucha","Getafe",20,"Right-Midfielder",4.67,69,0,0,0,"-"
"La Liga 2024/25","Jesús Santiago","Getafe",20,"Midfielder",4.57,372,0,0,0,"-"
"La Liga 2024/25","John Joe","Getafe",21,"Attacking-Mid",4.43,48,0,0,0,"-"
"La Liga 2024/25","Juan Bernat","Getafe",32,"Left-Midfielder",5.53,699,0,1,1,"-"
"La Liga 2024/25","Juan Berrocal","Getafe",26,"Centre-Back",4.61,1063,0,0,0,"-0.85"
"La Liga 2024/25","Juanmi","Getafe",32,"Centre-Foward",4.87,696,0,0,0,"-"
"La Liga 2024/25","Luis Milla","Getafe",30,"Midfielder",5.74,2875,1,4,5,"0.28"
"La Liga 2024/25","Mauro Arambarri","Getafe",29,"Midfielder",5.81,2661,10,0,10,"0.35"
"La Liga 2024/25","Nabil Aberdin","Getafe",22,"Midfielder",5.94,263,0,0,0,"-"
"La Liga 2024/25","Omar Alderete","Getafe",28,"Centre-Back",5.82,2971,1,0,1,"0.36"
"La Liga 2024/25","Peter González","Getafe",22,"Right-Midfielder",4.58,477,0,0,0,"-"
"La Liga 2024/25","Ramón Terrats","Getafe",24,"Right-Midfielder",6.05,1219,4,1,5,"0.59"
"La Liga 2024/25","Abel Ruiz","Girona",25,"Centre-Foward",5.01,1346,4,0,4,"-0.79"
"La Liga 2024/25","Alejandro Francés","Girona",22,"Right-Back",5.98,1173,0,0,0,"0.18"
"La Liga 2024/25","Arnau Martinez","Girona",22,"Right-Back",6.47,2624,2,2,4,"0.67"
"La Liga 2024/25","Arnaut Danjuma","Girona",28,"Left-Winger",5.46,1335,2,0,2,"-0.34"
"La Liga 2024/25","Arthur Melo","Girona",28,"Midfielder",5.66,941,0,0,0,"-0.14"
"La Liga 2024/25","Bojan Miovski","Girona",25,"Centre-Foward",4.45,869,2,1,3,"-1.35"
"La Liga 2024/25","Bryan Gil","Girona",24,"Left-Winger",5.97,1721,3,3,6,"0.17"
"La Liga 2024/25","Cristhian Stuani","Girona",38,"Centre-Foward",4.79,1078,11,2,13,"-1.01"
"La Liga 2024/25","Daley Blind","Girona",35,"Centre-Back",6.9,2780,0,2,2,"1.1"
